type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,710162,鈊象凱基9B購01,TW20Z7101625,2020/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,710163,鈺太國泰9B購01,TW20Z7101633,2020/03/27,上櫃,,RWSCCA
上櫃認購(售)權證,710164,大江元大9A購02,TW20Z7101641,2020/03/27,上櫃,,RWSCCA
上櫃認購(售)權證,710165,大學光元大9C購01,TW20Z7101658,2020/03/27,上櫃,,RWSCCA
上櫃認購(售)權證,710166,中美晶元大9A購02,TW20Z7101666,2020/03/27,上櫃,,RWSCCA
上櫃認購(售)權證,710167,宏捷科元大9B購01,TW20Z7101674,2020/03/27,上櫃,,RWSCCA
上櫃認購(售)權證,710168,原相元大9A購04,TW20Z7101682,2020/03/27,上櫃,,RWSCCA
上櫃認購(售)權證,710207,中美晶國泰9B購01,TW20Z7102078,2020/03/30,上櫃,,RWSCCA
上櫃認購(售)權證,710208,群聯國泰9B購01,TW20Z7102086,2020/03/30,上櫃,,RWSCCA
上櫃認購(售)權證,710209,群聯富邦9A購01,TW20Z7102094,2020/03/30,上櫃,,RWSCCA
上櫃認購(售)權證,710210,環球晶富邦9B購03,TW20Z7102102,2020/03/30,上櫃,,RWSCCA
上櫃認購(售)權證,710211,穩懋富邦9B購04,TW20Z7102110,2020/03/30,上櫃,,RWSCCA
上櫃認購(售)權證,710233,精測富邦9A購02,TW20Z7102334,2020/03/31,上櫃,,RWSCCA
上櫃認購(售)權證,710238,精測凱基9A購02,TW20Z7102383,2020/03/31,上櫃,,RWSCCA
上櫃認購(售)權證,710241,神盾元大9A購04,TW20Z7102417,2020/03/31,上櫃,,RWSCCA
上櫃認購(售)權證,710251,泰博國票9A購02,TW20Z7102516,2020/03/31,上櫃,,RWSCCA
上櫃認購(售)權證,710254,鈊象國泰9B購01,TW20Z7102540,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710255,中美晶富邦9B購03,TW20Z7102557,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710256,金居群益9B購02,TW20Z7102565,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710258,鈊象國票9B購01,TW20Z7102581,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710259,宇峻元大9B購01,TW20Z7102599,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710260,威剛元大9B購01,TW20Z7102607,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710261,神盾元大9B購01,TW20Z7102615,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710267,中美晶凱基9B購01,TW20Z7102672,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710272,環球晶凱基9B購01,TW20Z7102722,2020/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,710285,大江富邦9C購01,TW20Z7102854,2020/04/06,上櫃,,RWSCCA
上櫃認購(售)權證,710292,弘塑元大9B購01,TW20Z7102920,2020/04/06,上櫃,,RWSCCA
上櫃認購(售)權證,710296,雍智元大9B購01,TW20Z7102961,2020/04/06,上櫃,,RWSCCA
上櫃認購(售)權證,710306,建榮永豐9B購01,TW20Z7103068,2020/04/06,上櫃,,RWSCCA
上櫃認購(售)權證,710317,群聯凱基9B購01,TW20Z7103175,2020/04/06,上櫃,,RWSCCA
上櫃認購(售)權證,710325,三貝德國泰9C購01,TW20Z7103258,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710326,美琪瑪國泰9B購01,TW20Z7103266,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710327,譜瑞國泰9C購01,TW20Z7103274,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710337,杰力群益9C購01,TW20Z7103373,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710338,保瑞群益9B購01,TW20Z7103381,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710339,網龍群益9C購01,TW20Z7103399,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710340,兆利凱基9C購01,TW20Z7103407,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710343,網龍凱基9C購01,TW20Z7103431,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710344,聚積凱基9C購01,TW20Z7103449,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710348,神盾元富9B購02,TW20Z7103480,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710351,原相國票9B購01,TW20Z7103514,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710352,神盾國票9B購01,TW20Z7103522,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710353,神盾國票9C購01,TW20Z7103530,2020/04/07,上櫃,,RWSCCA
上櫃認購(售)權證,710365,是方國泰9B購01,TW20Z7103654,2020/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,710366,原相國泰9B購01,TW20Z7103662,2020/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,710375,原相元大9B購02,TW20Z7103753,2020/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,710376,泰博元大9C購01,TW20Z7103761,2020/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,710377,新鉅科元大9B購01,TW20Z7103779,2020/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,710381,鈊象元大9B購01,TW20Z7103811,2020/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,710384,威剛凱基9B購02,TW20Z7103845,2020/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,710388,鈊象國票9B購02,TW20Z7103886,2020/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,710391,原相元大9B購03,TW20Z7103910,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710393,雙鴻元大9C購01,TW20Z7103936,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710394,鈊象元大9C購01,TW20Z7103944,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710395,神盾富邦01購01,TW20Z7103951,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710396,雙鴻富邦9B購01,TW20Z7103969,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710397,群聯中信9C購01,TW20Z7103977,2020/04/09,上櫃,,RWSCCE
上櫃認購(售)權證,710407,泰博凱基9B購01,TW20Z7104074,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710408,博智凱基9B購01,TW20Z7104082,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710409,環球晶凱基9B購02,TW20Z7104090,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710411,穩懋凱基9B購01,TW20Z7104116,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710412,宇峻國票9B購01,TW20Z7104124,2020/04/09,上櫃,,RWSCCA
上櫃認購(售)權證,710413,威剛中信9B購01,TW20Z7104132,2020/04/10,上櫃,,RWSCCE
上櫃認購(售)權證,710416,神盾元大9B購02,TW20Z7104165,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710417,博智元大9B購01,TW20Z7104173,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710419,雙鴻元大9B購01,TW20Z7104199,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710420,鈊象元大9B購02,TW20Z7104207,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710427,神盾凱基9B購02,TW20Z7104272,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710428,群聯凱基9B購02,TW20Z7104280,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710429,群聯麥證9B購01,TW20Z7104298,2020/04/10,上櫃,,RWSCCE
上櫃認購(售)權證,710430,宏捷科國泰9B購03,TW20Z7104306,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710431,宇峻群益9B購01,TW20Z7104314,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710432,泰博群益9B購01,TW20Z7104322,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710433,原相富邦9C購02,TW20Z7104330,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710434,群聯富邦9B購01,TW20Z7104348,2020/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,710443,威剛國泰9C購01,TW20Z7104439,2020/04/13,上櫃,,RWSCCA
上櫃認購(售)權證,710444,雙鴻國泰9C購01,TW20Z7104447,2020/04/13,上櫃,,RWSCCA
上櫃認購(售)權證,710449,環球晶凱基9C購01,TW20Z7104496,2020/04/13,上櫃,,RWSCCA
