type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,059119,華擎永豐99購02,TW20Z0591194,2020/03/16,上市,,RWSCCA
上市認購(售)權證,05911P,南亞科永豐96售03,TW19Z05911P7,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059120,致伸永豐99購01,TW20Z0591202,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059121,瑞儀永豐99購01,TW20Z0591210,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059122,超眾永豐99購01,TW20Z0591228,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059123,訊芯永豐99購03,TW20Z0591236,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059124,台積電第一03購01,TW20Z0591244,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059125,台積電第一03購02,TW20Z0591251,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059126,臺指反中信9B購01,TW20Z0591269,2020/03/17,上市,,RWBCCE
上市認購(售)權證,059127,國巨中信99購04,TW20Z0591277,2020/03/17,上市,,RWSCCE
上市認購(售)權證,059128,友達中信99購02,TW20Z0591285,2020/03/17,上市,,RWSCCE
上市認購(售)權證,059129,麗豐中信99購01,TW20Z0591293,2020/03/17,上市,,RWSCCE
上市認購(售)權證,05912P,和大元大96售01,TW19Z05912P5,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059130,台灣50群益9B購05,TW20Z0591301,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059131,國巨群益99購07,TW20Z0591319,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059132,臺股指群益99購07,TW20Z0591327,2020/03/17,上市,,RWICCE
上市認購(售)權證,059133,臺股指群益99購08,TW20Z0591335,2020/03/17,上市,,RWICCE
上市認購(售)權證,059134,臺股指群益99購09,TW20Z0591343,2020/03/17,上市,,RWICCE
上市認購(售)權證,059135,臺股指群益99購10,TW20Z0591350,2020/03/17,上市,,RWICCE
上市認購(售)權證,059136,臺股指群益99購11,TW20Z0591368,2020/03/17,上市,,RWICCE
上市認購(售)權證,059137,電子類群益99購01,TW20Z0591376,2020/03/17,上市,,RWICCE
